query,target_class
How do I become a certified clinical nurse specialist?,Certified Clinical Nurse Specialist
Can a nurse specialist help with chronic pain management?,Certified Clinical Nurse Specialist
I'm feeling dizzy and need advice on next steps.,Certified Clinical Nurse Specialist
What should I do if I have persistent nausea?,Certified Clinical Nurse Specialist
Is a nurse specialist the right choice for my condition?,Certified Clinical Nurse Specialist
How can I find a certified nurse specialist near me?,Certified Clinical Nurse Specialist
I'm struggling with depression and need support.,Certified Clinical Nurse Specialist
What are the signs of a serious infection?,Certified Clinical Nurse Specialist
I have trouble breathing and am worried.,Certified Clinical Nurse Specialist
How do I prepare for a nurse specialist consultation?,Certified Clinical Nurse Specialist
I'm concerned about my daughter's frequent illnesses.,Certified Clinical Nurse Specialist
What does a nurse specialist do exactly?,Certified Clinical Nurse Specialist
I'm experiencing severe headaches and fatigue.,Certified Clinical Nurse Specialist
How can I get certified as a clinical nurse specialist?,Certified Clinical Nurse Specialist
I need help with medication management.,Certified Clinical Nurse Specialist
What if my symptoms don't improve with treatment?,Certified Clinical Nurse Specialist
I'm dealing with anxiety and need guidance.,Certified Clinical Nurse Specialist
How can I talk to a nurse specialist about my health?,Certified Clinical Nurse Specialist
I have diabetes and need more care options.,Certified Clinical Nurse Specialist
What if I'm not feeling well after surgery?,Certified Clinical Nurse Specialist
I'm worried about my elderly parent's health.,Certified Clinical Nurse Specialist
How do I know if I need a nurse specialist?,Certified Clinical Nurse Specialist
I'm having trouble sleeping and feel exhausted.,Certified Clinical Nurse Specialist
What should I do if I'm not improving with care?,Certified Clinical Nurse Specialist
I'm concerned about my child's school performance.,Certified Clinical Nurse Specialist
How can a nurse specialist help with mental health?,Certified Clinical Nurse Specialist
I'm experiencing chest pain and need immediate help.,Certified Clinical Nurse Specialist
What if I don't have health insurance?,Certified Clinical Nurse Specialist
I'm worried about my immune system.,Certified Clinical Nurse Specialist
How can I manage my chronic condition better?,Certified Clinical Nurse Specialist
fever and fatigue for two weeks,Internal Medicine
chest pain and shortness of breath,Internal Medicine
headache and nausea for three days,Internal Medicine
confused and tired all the time,Internal Medicine
persistent cough with mucus,Internal Medicine
difficulty sleeping and weight loss,Internal Medicine
stomach pain and bloating,Internal Medicine
itchy skin and rashes,Internal Medicine
back pain that won't go away,Internal Medicine
swollen legs and fluid retention,Internal Medicine
dry cough with no fever,Internal Medicine
memory loss and confusion,Internal Medicine
unexplained weight loss and hunger,Internal Medicine
nausea and vomiting without diarrhea,Internal Medicine
dark circles under eyes and fatigue,Internal Medicine
joint pain and stiffness,Internal Medicine
night sweats and fever,Internal Medicine
difficulty concentrating and anxiety,Internal Medicine
skin rash and fever,Internal Medicine
sudden weight loss and appetite changes,Internal Medicine
heartburn and acid reflux,Internal Medicine
loss of appetite and bloating,Internal Medicine
constant fatigue and dizziness,Internal Medicine
leg swelling and pain,Internal Medicine
persistent headache and vision changes,Internal Medicine
fever with chills and body aches,Internal Medicine
stomach cramps and gas,Internal Medicine
confusion and memory issues,Internal Medicine
nighttime urination and thirst,Internal Medicine
chest discomfort and palpitations,Internal Medicine
My knee hurts and I think it's a sprain,General Surgery
I’ve been having pain in my lower back for weeks,General Surgery
I need help with a broken arm after a fall,General Surgery
My hand is swollen and I can’t move it,General Surgery
I think I have a dislocated shoulder,General Surgery
I’m experiencing stomach pain and nausea,General Surgery
I’ve been feeling dizzy and nauseous,General Surgery
I have a persistent cough and chest pain,General Surgery
I’m worried about a heart attack symptoms,General Surgery
I’ve been having trouble breathing and chest pain,General Surgery
I think I might have a gallbladder issue,General Surgery
I have a severe headache and vision problems,General Surgery
I’m concerned about a stroke symptoms,General Surgery
I’ve been feeling weak and confused,General Surgery
I have a fever and body aches,General Surgery
I think I have the flu symptoms,General Surgery
I’m having trouble with my digestion,General Surgery
I feel bloated and have constipation,General Surgery
I’ve been having pain in my right side,General Surgery
I think I have a kidney stone,General Surgery
I’m experiencing pain in my testicles,General Surgery
I have a swollen and tender knee,General Surgery
I think I have a torn ACL,General Surgery
I’m having pain in my shoulder and arm,General Surgery
I have a lump on my neck that’s painful,General Surgery
I’m concerned about a lump in my throat,General Surgery
I think I have a wisdom tooth infection,General Surgery
I’ve been having pain in my lower abdomen,General Surgery
I feel pressure in my lower back,General Surgery
I’m having trouble with my urine flow,General Surgery
my child has a high fever and cough,Pediatric Medicine
runny nose and sore throat in toddler,Pediatric Medicine
fever with rash on face,Pediatric Medicine
child not eating and acting fussy,Pediatric Medicine
